supplier_id,name,industry,location,supplier_size,product_supplied,on_time_delivery,defect_rate,payment_delay_days,escalation_count,penalty_count,contract_duration_months,renewal_status,cost_per_unit,business_criticality,risk_score,recommended_action
SUP-01179,Vasquez PLC,Electronics,North Michellestad,Small,Vaccines,66.5,1.58,5.0,1,1,15,Not Renewed,43.1,Medium,90,Renew
SUP-01180,Ortiz LLC,Logistics,North Paulborough,Small,Cleaning Agents,85.1,1.86,19.0,1,1,38,Renewed,850.16,Medium,84,Renegotiate
SUP-01181,"Smith, Larson and Lester",Automotive,Freemanland,Medium,Motors,90.8,1.19,3.0,0,0,27,Not Renewed,799.73,High,12,Renew
SUP-01182,"Acosta, Johnson and Combs",Pharma,Brittanyton,Large,Chips,72.9,1.23,1.0,1,1,27,Renewed,366.6,High,36,Renew
SUP-01183,Hernandez and Sons,Automotive,Port Cynthia,Small,Vaccines,97.1,5.05,,1,0,41,Renewed,481.34,Medium,24,Renegotiate
SUP-01184,Drake and Sons,Pharma,Jonesside,Medium,Cleaning Agents,,2.04,7.0,1,0,9,Not Renewed,926.03,Low,78,Renegotiate
SUP-01185,Vincent Inc,Pharma,North Heather,Small,Motors,75.7,4.92,4.0,0,0,13,Renewed,756.69,High,66,Renew
SUP-01186,Simmons PLC,Pharma,Arnoldborough,Small,Chips,90.7,2.58,9.0,1,0,24,Renewed,356.67,High,82,Renew
SUP-01187,"Briggs, Travis and Miles",Automotive,West Donna,Medium,Chips,96.8,3.67,9.0,0,0,14,Not Renewed,982.21,High,15,Renew
SUP-01188,"Garcia, Salazar and Dickerson",Chemicals,North Beth,Medium,Vaccines,80.8,2.23,1.0,1,0,37,Not Renewed,562.99,High,63,Renew
SUP-01189,Martin Group,Pharma,Jerryland,Medium,Chips,83.6,1.88,3.0,1,0,11,Not Renewed,855.04,High,25,Renegotiate
SUP-01190,"Gonzalez, Strickland and Lucas",Logistics,Russellbury,Medium,Transport Services,75.5,3.17,4.0,1,0,42,Renewed,998.08,Low,61,Renegotiate
SUP-01191,"Hodge, Scott and Delgado",Logistics,Ryanhaven,Large,Motors,86.4,3.42,5.0,1,0,46,Not Renewed,248.21,Medium,86,Terminate
SUP-01192,Kelley LLC,Chemicals,South Johnburgh,Medium,Chips,79.9,4.09,,2,1,31,Not Renewed,683.51,High,60,Renegotiate
SUP-01193,Lloyd PLC,Logistics,Port Benjamin,Medium,Chips,89.6,5.66,17.0,2,1,20,Not Renewed,433.23,Medium,48,Renew
SUP-01194,Curry-Martinez,Chemicals,New Mallory,Large,Vaccines,76.7,0.3,9.0,1,1,47,Renewed,802.97,High,83,Renegotiate
SUP-01195,"Aguirre, Gutierrez and Johnson",Pharma,Kyleborough,Large,Chips,,2.1,11.0,1,0,42,Renewed,194.21,High,81,Terminate
SUP-01196,Ortiz Inc,Automotive,Gonzalezchester,Small,Cleaning Agents,100.1,2.54,6.0,0,0,35,Renewed,632.45,High,13,Renew
SUP-01197,Adkins Ltd,Logistics,West Kelly,Large,Cleaning Agents,100.0,1.78,7.0,1,0,21,Renewed,690.29,High,38,Renew
SUP-01198,Baker and Sons,Chemicals,West Deborahshire,Small,Transport Services,82.6,4.41,6.0,0,0,8,Renewed,874.39,Low,34,Renegotiate
SUP-01199,Nguyen LLC,Electronics,North Kimberlyport,Medium,Cleaning Agents,67.1,5.06,10.0,1,0,36,Renewed,838.78,Medium,45,Renegotiate
SUP-01200,Chase and Sons,Chemicals,Port Zachary,Small,Motors,81.8,2.92,14.0,1,0,39,Renewed,946.02,Medium,42,Renew
SUP-01201,"Sampson, Lewis and Lawrence",Logistics,East Timothy,Small,Motors,,2.43,1.0,1,0,19,Renewed,506.12,Low,41,Renegotiate
SUP-01202,Hunt-Fisher,Automotive,Port Sonyaville,Small,Motors,88.3,3.5,7.0,1,0,36,Renewed,791.98,High,62,Renegotiate
SUP-01203,"Simpson, Garrison and Obrien",Chemicals,Hoffmanview,Small,Vaccines,93.1,1.08,3.0,0,1,20,Renewed,355.07,Medium,78,Terminate
SUP-01204,Webster-Moore,Electronics,Jonathanport,Small,Motors,81.7,3.35,14.0,0,0,22,Not Renewed,151.44,Low,35,Renew
SUP-01205,Meyers Inc,Automotive,Taylorberg,Medium,Chips,87.3,3.42,,1,0,25,Not Renewed,250.59,Low,64,Renew
SUP-01206,Bishop-Craig,Chemicals,South Aliciamouth,Small,Motors,89.3,0.33,4.0,0,0,9,Not Renewed,100.29,Low,89,Renew
SUP-01207,"Gonzalez, Ayala and Ellis",Automotive,Bowmanport,Medium,Cleaning Agents,74.7,1.56,19.0,3,0,15,Not Renewed,687.73,Low,43,Renew
SUP-01208,"Simmons, Vargas and Molina",Automotive,North Gail,Large,Transport Services,93.5,2.65,3.0,1,2,18,Not Renewed,277.55,Medium,36,Renew
SUP-01209,West-Fisher,Automotive,Joefurt,Medium,Cleaning Agents,,0.64,13.0,0,0,10,Not Renewed,545.22,Medium,25,Terminate
SUP-01210,"Whitaker, Bennett and Romero",Electronics,North Samanthahaven,Medium,Motors,72.9,4.88,18.0,0,1,7,Not Renewed,296.8,Low,43,Renegotiate
SUP-01211,"Johnston, Hamilton and Brown",Electronics,Brandyshire,Large,Cleaning Agents,89.7,0.61,6.0,0,1,26,Not Renewed,176.99,Medium,75,Renegotiate
SUP-01212,"Duncan, Lane and Abbott",Electronics,Hernandezchester,Large,Chips,94.4,2.91,0.0,2,1,22,Renewed,73.63,Low,11,Renegotiate
SUP-01213,Sutton PLC,Automotive,Tracyview,Medium,Transport Services,74.6,0.06,18.0,1,0,36,Not Renewed,767.72,High,67,Renegotiate
SUP-01214,Ferguson LLC,Pharma,North Christianberg,Small,Vaccines,85.3,3.59,13.0,2,0,26,Not Renewed,912.24,Low,41,Renegotiate
SUP-01215,"Johnson, Miller and Shepard",Chemicals,Tylershire,Medium,Motors,87.7,2.04,10.0,0,0,46,Not Renewed,546.16,Medium,39,Terminate
SUP-01216,"Matthews, Taylor and Anderson",Logistics,Jeremyborough,Large,Chips,85.9,1.51,11.0,2,1,24,Not Renewed,989.91,High,79,Renew
SUP-01217,Holder-Soto,Chemicals,Benjaminberg,Medium,Motors,89.1,3.68,2.0,0,1,28,Renewed,760.63,Medium,46,Renew
SUP-01218,Long-Armstrong,Electronics,Dawnbury,Medium,Transport Services,87.2,2.1,2.0,1,0,35,Renewed,749.01,High,40,Renew
SUP-01219,Murphy LLC,Electronics,South Johnchester,Small,Cleaning Agents,79.9,2.41,9.0,1,0,22,Renewed,409.27,High,32,Renegotiate
SUP-01220,Anderson-Stewart,Automotive,New Annafort,Small,Transport Services,95.1,2.28,,0,0,32,Not Renewed,586.35,Medium,47,Renegotiate
SUP-01221,Duncan PLC,Chemicals,Kathyton,Medium,Motors,70.4,3.39,11.0,2,0,13,Renewed,551.06,High,74,Renegotiate
SUP-01222,Booker-Perry,Pharma,West Gabrielview,Large,Cleaning Agents,90.8,2.09,,2,0,28,Renewed,960.32,High,71,Renew
SUP-01223,"Murphy, Lyons and Oconnor",Electronics,Jensenmouth,Medium,Chips,84.0,4.15,10.0,0,0,23,Not Renewed,500.74,High,70,Renew
SUP-01224,"Best, Howard and Phillips",Electronics,Samanthaberg,Small,Chips,97.0,2.67,14.0,0,0,33,Renewed,142.86,High,23,Renew
SUP-01225,"Tate, Smith and Flores",Electronics,Ramirezborough,Medium,Vaccines,83.7,2.16,4.0,1,1,18,Renewed,765.12,Medium,34,Renegotiate
SUP-01226,Mccoy-Walker,Logistics,Sanfordstad,Medium,Transport Services,72.6,2.56,8.0,2,0,17,Not Renewed,605.0,High,92,Renegotiate
SUP-01227,Price and Sons,Electronics,New Juanstad,Small,Cleaning Agents,96.0,2.1,9.0,0,1,33,Not Renewed,454.5,Low,19,Renegotiate
SUP-01228,"Carter, King and Rodriguez",Chemicals,Diazbury,Medium,Transport Services,90.3,2.54,6.0,3,0,8,Renewed,310.69,Medium,52,Renew
SUP-01229,Gregory-Sanchez,Chemicals,West Kennethfurt,Small,Vaccines,106.5,3.25,15.0,0,0,38,Renewed,161.96,Medium,79,Renew
SUP-01230,"Guzman, Castro and Perez",Pharma,North Darrell,Medium,Cleaning Agents,77.9,1.41,19.0,0,1,9,Renewed,71.37,High,75,Renegotiate
SUP-01231,Banks and Sons,Automotive,South Phillip,Small,Cleaning Agents,88.8,1.75,12.0,0,0,37,Renewed,675.58,High,57,Renegotiate
SUP-01232,Carter Ltd,Electronics,Peterton,Medium,Motors,74.0,2.21,7.0,2,0,42,Renewed,237.27,High,24,Renew
SUP-01233,Collier-Weaver,Pharma,South Zoe,Medium,Vaccines,81.9,3.95,7.0,1,0,26,Not Renewed,328.2,Medium,34,Renew
SUP-01234,"Stone, Smith and Hernandez",Pharma,East Kendra,Medium,Vaccines,82.9,3.2,1.0,1,1,32,Renewed,201.82,Medium,42,Renegotiate
SUP-01235,Dunn PLC,Chemicals,North Christinafurt,Small,Motors,95.3,1.26,,0,2,32,Not Renewed,644.46,Medium,21,Renegotiate
SUP-01236,Booth-Allison,Chemicals,South Suzanne,Small,Vaccines,86.0,2.77,11.0,2,0,9,Not Renewed,174.48,Medium,36,Renegotiate
SUP-01237,"Lee, Cook and Rhodes",Automotive,Larrymouth,Medium,Vaccines,84.7,1.2,4.0,1,0,12,Renewed,189.23,High,77,Terminate
SUP-01238,"Graham, Salazar and Hansen",Electronics,Lake Michaelshire,Large,Vaccines,72.7,2.74,3.0,0,0,30,Renewed,87.11,Medium,94,Renew
SUP-01239,"Myers, Meyer and King",Electronics,Lake Devinfurt,Small,Chips,87.7,3.69,27.0,1,1,38,Renewed,400.35,Medium,26,Renew
SUP-01240,Barrera-Webb,Logistics,Wendyborough,Medium,Motors,97.0,1.25,1.0,0,0,22,Not Renewed,367.91,Low,34,Renew
SUP-01241,Conner Inc,Chemicals,New Andrew,Medium,Chips,83.3,4.44,18.0,1,1,17,Renewed,337.86,Low,54,Renew
SUP-01242,Garcia-Lester,Pharma,Shawnburgh,Small,Cleaning Agents,104.4,3.75,7.0,0,0,22,Not Renewed,885.96,High,60,Terminate
SUP-01243,"Wilson, Turner and Carrillo",Pharma,West Jennifer,Large,Cleaning Agents,82.5,3.03,19.0,0,0,20,Renewed,478.44,High,83,Renegotiate
SUP-01244,Adams-Rhodes,Logistics,Beckmouth,Medium,Motors,84.1,3.84,13.0,2,1,44,Not Renewed,158.36,Medium,42,Renew
SUP-01245,Foster-Martin,Automotive,Kristiland,Medium,Vaccines,89.2,0.75,4.0,1,0,18,Not Renewed,401.75,High,70,Renegotiate
SUP-01246,Morgan PLC,Pharma,Port Melanie,Small,Chips,101.3,1.79,11.0,0,1,20,Not Renewed,809.8,Medium,52,Renew
SUP-01247,Perez-Austin,Electronics,Port Michelle,Large,Motors,84.4,3.06,18.0,0,0,22,Not Renewed,860.26,Medium,70,Renew
SUP-01248,Taylor-Meyer,Electronics,Mackchester,Medium,Cleaning Agents,81.3,2.54,16.0,1,1,6,Not Renewed,123.71,Low,50,Renew
SUP-01249,"Green, Miller and Peck",Automotive,Mossside,Medium,Motors,65.7,1.18,7.0,2,0,25,Renewed,423.96,Medium,90,Renew
SUP-01250,"Morris, Terry and Martin",Logistics,Hartside,Small,Motors,78.7,,22.0,1,2,7,Renewed,574.21,Low,91,Renegotiate
SUP-01251,Sanchez LLC,Electronics,Coxbury,Medium,Motors,,4.11,22.0,4,0,13,Renewed,55.46,High,87,Renegotiate
SUP-01252,"Allen, Ayala and Roberts",Logistics,Mckenzieberg,Small,Transport Services,84.2,1.83,4.0,1,2,22,Renewed,435.95,Low,69,Renew
SUP-01253,Smith-Pierce,Pharma,Campbellborough,Small,Cleaning Agents,76.6,1.29,2.0,1,0,42,Not Renewed,694.03,High,88,Renew
SUP-01254,"Boyd, Howell and Collins",Pharma,Port Robert,Medium,Cleaning Agents,80.1,2.66,3.0,0,2,21,Not Renewed,789.47,High,91,Renew
SUP-01255,Pierce and Sons,Automotive,Heathermouth,Medium,Vaccines,97.1,0.35,7.0,1,0,7,Renewed,136.13,Medium,89,Renegotiate
SUP-01256,"Good, Barnett and Taylor",Logistics,East Sheilafort,Medium,Chips,92.3,3.2,17.0,1,0,8,Not Renewed,126.88,High,31,Renegotiate
SUP-01257,Farmer-Caldwell,Automotive,New Johnberg,Small,Chips,107.3,2.68,10.0,1,0,33,Not Renewed,554.15,Low,67,Renegotiate
SUP-01258,"Fox, Strickland and Drake",Automotive,New Chadhaven,Medium,Transport Services,77.7,4.14,,1,0,21,Renewed,900.17,Medium,33,Renegotiate
SUP-01259,Cooper-Allison,Pharma,East Ronald,Small,Cleaning Agents,84.2,1.16,6.0,3,1,14,Renewed,902.46,High,62,Renegotiate
SUP-01260,Macias-Hart,Logistics,North Kaylee,Medium,Cleaning Agents,87.2,3.73,5.0,0,0,25,Renewed,650.1,Medium,23,Renegotiate
SUP-01261,"Tyler, Campbell and Rhodes",Pharma,West Robinborough,Small,Vaccines,84.4,0.09,14.0,1,0,45,Renewed,408.45,Medium,75,Renew
SUP-01262,Logan PLC,Electronics,South Ronald,Small,Transport Services,70.7,,16.0,1,1,39,Not Renewed,642.54,Medium,32,Renew
SUP-01263,"Schneider, Keith and Page",Pharma,Davidstad,Medium,Chips,72.3,,8.0,1,0,38,Renewed,307.58,Low,32,Renew
SUP-01264,"Stewart, Phillips and Sandoval",Electronics,Cortezside,Medium,Motors,70.5,2.12,13.0,4,0,40,Not Renewed,124.67,High,49,Renew
SUP-01265,Gray-King,Chemicals,West Thomas,Small,Cleaning Agents,88.2,3.95,3.0,0,0,17,Renewed,42.29,Medium,74,Renegotiate
SUP-01266,"Taylor, King and Mcdonald",Logistics,Ashleytown,Medium,Cleaning Agents,79.7,3.37,5.0,1,0,12,Not Renewed,455.5,High,81,Renew
SUP-01267,Mcdonald-Harris,Electronics,North Donna,Medium,Cleaning Agents,77.5,0.97,6.0,2,1,20,Not Renewed,25.93,Medium,10,Renegotiate
SUP-01268,"Spencer, Barrett and Huff",Electronics,Lake Ricky,Large,Vaccines,84.6,3.62,5.0,1,0,24,Not Renewed,896.06,Medium,66,Renew
SUP-01269,Holt-Hale,Chemicals,South Danatown,Small,Motors,85.3,4.75,17.0,2,0,42,Not Renewed,147.65,Medium,48,Renegotiate
SUP-01270,Miller-Solomon,Logistics,Tiffanyville,Large,Transport Services,92.2,1.04,7.0,0,0,27,Not Renewed,611.2,Medium,84,Renegotiate
SUP-01271,Mosley LLC,Pharma,Robinsonburgh,Small,Vaccines,78.3,0.85,6.0,1,0,17,Not Renewed,921.02,High,14,Terminate
SUP-01272,"Sanders, Brennan and Torres",Pharma,Port Shane,Small,Motors,99.6,3.42,7.0,1,0,35,Not Renewed,323.87,High,15,Renew
SUP-01273,Gonzalez and Sons,Electronics,Tamarafort,Small,Transport Services,96.1,1.41,3.0,3,1,34,Renewed,10.28,Medium,11,Renew
SUP-01274,Oliver and Sons,Chemicals,East Heatherfort,Small,Vaccines,82.1,2.8,5.0,0,0,19,Renewed,423.12,Low,29,Terminate
SUP-01275,Morgan-Bishop,Chemicals,Lisatown,Large,Motors,100.1,0.02,5.0,1,0,12,Not Renewed,469.54,Low,20,Renegotiate
SUP-01276,"Waters, Jones and Wilson",Chemicals,North Dalton,Medium,Motors,76.6,2.84,1.0,2,0,10,Renewed,725.94,Medium,39,Terminate
SUP-01277,"Brown, Powers and Woodard",Chemicals,Patelton,Small,Vaccines,86.9,2.9,11.0,1,0,45,Renewed,821.78,Medium,55,Renegotiate
SUP-01278,"Elliott, Watts and Burns",Logistics,Harperstad,Small,Transport Services,99.4,3.24,5.0,1,0,12,Not Renewed,262.01,High,29,Renegotiate
SUP-01279,"Butler, Brooks and Bradford",Electronics,Lake Amandaborough,Medium,Chips,75.2,,1.0,0,1,26,Renewed,129.73,High,50,Terminate
SUP-01280,Pacheco-Combs,Automotive,Port Bryan,Medium,Chips,102.7,1.84,1.0,1,1,44,Renewed,224.21,Medium,62,Terminate
SUP-01281,"Green, Waters and Smith",Chemicals,Tammyside,Medium,Vaccines,100.3,2.11,10.0,2,1,27,Renewed,516.98,Medium,35,Renegotiate
SUP-01282,"Cummings, Riddle and Cooper",Chemicals,Coleborough,Medium,Vaccines,103.1,,16.0,1,0,11,Renewed,631.94,Medium,74,Renegotiate
SUP-01283,Berg-Baker,Chemicals,Lake Cheyenne,Medium,Transport Services,77.2,5.07,7.0,1,0,26,Renewed,250.11,High,93,Renew
SUP-01284,"Romero, Hansen and Harris",Logistics,Port Rebecca,Small,Vaccines,62.5,4.16,7.0,0,0,22,Not Renewed,773.39,High,23,Renew
SUP-01285,Smith-Garcia,Pharma,North Heather,Large,Transport Services,91.9,0.02,7.0,0,0,37,Not Renewed,28.02,High,52,Renegotiate
SUP-01286,Huerta Inc,Pharma,Marymouth,Large,Cleaning Agents,80.0,5.24,18.0,0,1,10,Renewed,916.03,Low,36,Renegotiate
SUP-01287,"Hart, Craig and Allen",Chemicals,Meyerburgh,Small,Chips,101.3,0.13,4.0,1,1,40,Renewed,100.59,Medium,37,Renew
SUP-01288,Marks Inc,Automotive,North Kaylaton,Medium,Transport Services,101.1,3.13,4.0,1,0,9,Renewed,473.4,Medium,51,Renegotiate
SUP-01289,"Gilmore, Dougherty and Herrera",Chemicals,Port Debra,Small,Vaccines,111.1,2.65,1.0,1,0,43,Not Renewed,265.69,Medium,25,Renew
SUP-01290,Harvey-Warren,Automotive,Bartonberg,Small,Chips,73.7,2.69,33.0,1,0,10,Not Renewed,688.66,High,26,Renegotiate
SUP-01291,White PLC,Automotive,Moranchester,Small,Cleaning Agents,89.1,1.83,29.0,1,1,43,Renewed,940.4,High,29,Renew
SUP-01292,Alvarez Group,Logistics,Caseyborough,Small,Chips,89.9,1.82,12.0,1,0,22,Renewed,487.19,Low,22,Renew
SUP-01293,Ortiz-Allison,Chemicals,Annatown,Medium,Cleaning Agents,83.1,1.5,23.0,0,1,45,Not Renewed,329.42,Medium,28,Renew
SUP-01294,Henson and Sons,Pharma,Contrerasmouth,Medium,Cleaning Agents,62.4,2.02,2.0,0,1,34,Not Renewed,283.13,High,13,Renegotiate
SUP-01295,"Brown, Gonzalez and Rhodes",Electronics,Port Jackborough,Medium,Chips,90.0,1.6,20.0,1,1,47,Renewed,392.73,Low,91,Renegotiate
SUP-01296,"Sexton, Bridges and Hernandez",Automotive,Rogerschester,Small,Vaccines,91.6,2.63,5.0,1,1,32,Renewed,893.76,High,44,Renegotiate
SUP-01297,"Ward, Snyder and Foster",Logistics,Ninachester,Medium,Vaccines,102.5,1.6,2.0,4,1,42,Renewed,293.49,Low,56,Renew
SUP-01298,"Sanchez, Mcguire and Riley",Electronics,Emilybury,Large,Cleaning Agents,100.8,0.56,6.0,0,0,46,Renewed,69.89,Medium,44,Terminate
SUP-01299,"Taylor, Reed and Rogers",Logistics,Christopherstad,Large,Motors,84.4,5.55,5.0,0,1,8,Renewed,142.55,Medium,54,Renew
SUP-01300,Gibson Inc,Logistics,Bobbyburgh,Medium,Chips,94.1,1.14,11.0,3,0,44,Renewed,268.49,High,30,Renew
SUP-01301,Richardson Inc,Pharma,Ronaldfurt,Medium,Cleaning Agents,86.4,2.92,14.0,2,0,38,Not Renewed,411.27,Low,78,Renew
SUP-01302,"Smith, Velazquez and Ruiz",Chemicals,Port Deborah,Small,Transport Services,81.6,1.14,0.0,1,0,33,Not Renewed,989.55,Medium,31,Renegotiate
SUP-01303,"Mills, Thornton and Decker",Electronics,Fostermouth,Large,Vaccines,87.8,,3.0,0,0,31,Renewed,916.92,High,90,Renegotiate
SUP-01304,Jenkins Group,Chemicals,Martinstad,Medium,Cleaning Agents,74.5,4.65,5.0,1,0,43,Renewed,341.33,High,17,Renew
SUP-01305,Jackson and Sons,Electronics,Stevenview,Medium,Transport Services,89.5,2.42,12.0,1,0,6,Renewed,11.7,Medium,76,Renegotiate
SUP-01306,Reyes Ltd,Logistics,West Dennisville,Medium,Chips,95.3,1.26,1.0,1,0,6,Renewed,299.22,Medium,46,Renew
SUP-01307,"Rodriguez, Mcmillan and Lowe",Chemicals,Joymouth,Small,Chips,78.2,1.06,22.0,0,0,7,Not Renewed,639.91,High,11,Renegotiate
SUP-01308,"Wright, Thompson and Young",Automotive,Carolport,Medium,Vaccines,63.4,1.69,6.0,1,0,14,Not Renewed,402.63,High,25,Renegotiate
SUP-01309,Jones-Lewis,Pharma,Schultzbury,Large,Vaccines,85.8,4.78,15.0,2,1,21,Not Renewed,628.07,Medium,79,Renew
SUP-01310,"Johnson, Martinez and Nolan",Electronics,Donaldhaven,Medium,Motors,80.5,3.34,10.0,1,1,8,Renewed,876.18,Medium,77,Terminate
SUP-01311,Cameron-Duke,Chemicals,Sanchezberg,Small,Cleaning Agents,75.2,1.65,3.0,0,0,34,Not Renewed,241.93,High,11,Renew
SUP-01312,"Nelson, Jones and Ashley",Pharma,West Josephview,Small,Motors,83.9,1.46,5.0,1,1,26,Not Renewed,240.91,Low,85,Renew
SUP-01313,Townsend Ltd,Automotive,West Tammy,Small,Vaccines,71.7,2.96,2.0,1,0,18,Renewed,402.02,Medium,55,Renegotiate
SUP-01314,Robinson Inc,Logistics,Fishermouth,Small,Vaccines,71.4,2.0,8.0,0,0,22,Not Renewed,662.26,Medium,40,Renew
SUP-01315,"Richard, Richmond and Murphy",Automotive,Dudleyberg,Small,Chips,83.1,5.38,14.0,1,0,44,Not Renewed,246.27,High,91,Renew
SUP-01316,Olson Inc,Automotive,Lindamouth,Medium,Vaccines,96.7,3.61,10.0,0,1,7,Renewed,876.97,High,25,Renew
SUP-01317,"Howard, Griffin and Morgan",Pharma,Ginachester,Large,Chips,75.7,2.46,0.0,1,1,35,Renewed,558.73,Low,56,Terminate
SUP-01318,Hayden Group,Logistics,Port Brandonberg,Medium,Vaccines,72.7,0.55,9.0,0,0,31,Not Renewed,926.32,High,62,Renegotiate
SUP-01319,Duffy-Nguyen,Automotive,West Taylorshire,Small,Transport Services,89.1,2.54,6.0,1,0,23,Renewed,984.94,High,30,Renew
SUP-01320,"Estrada, Daniels and Perez",Automotive,Shieldsborough,Small,Vaccines,85.1,2.24,0.0,4,1,35,Renewed,533.1,High,33,Renegotiate
SUP-01321,Jackson-Watkins,Logistics,Lake Wesleyside,Medium,Chips,89.5,4.45,5.0,1,0,10,Not Renewed,878.04,Medium,87,Renew
SUP-01322,Duncan-Petty,Pharma,Emilyhaven,Large,Cleaning Agents,,3.5,10.0,0,0,21,Renewed,298.6,Medium,67,Renew
SUP-01323,Taylor-Wade,Chemicals,Port Shawnaview,Medium,Motors,,0.55,4.0,1,0,15,Renewed,843.35,Medium,79,Renew
SUP-01324,Zavala LLC,Automotive,Port Pamela,Small,Motors,98.7,2.89,9.0,1,1,38,Not Renewed,385.59,Low,46,Renew
SUP-01325,"Lopez, King and Ruiz",Pharma,Lake Christian,Medium,Cleaning Agents,84.9,1.91,3.0,0,0,10,Renewed,568.96,Medium,27,Terminate
SUP-01326,Scott-Elliott,Automotive,Marcushaven,Medium,Cleaning Agents,80.1,3.96,20.0,0,1,14,Not Renewed,671.28,High,13,Renegotiate
SUP-01327,Snow Inc,Chemicals,West Kelseychester,Medium,Motors,85.3,3.47,8.0,2,0,26,Not Renewed,672.43,Low,29,Renegotiate
SUP-01328,Carr PLC,Pharma,Port Derrickfort,Large,Chips,90.1,1.57,7.0,0,0,33,Renewed,840.09,High,66,Renegotiate
SUP-01329,Little-Lee,Pharma,North Brendan,Medium,Cleaning Agents,101.4,4.13,15.0,1,1,23,Renewed,442.63,Low,23,Renew
SUP-01330,"Meadows, Lopez and Burns",Pharma,Cynthiamouth,Medium,Motors,107.7,3.16,13.0,1,0,7,Not Renewed,85.44,High,17,Renegotiate
SUP-01331,Bishop PLC,Logistics,Port Darryltown,Small,Vaccines,80.2,1.73,6.0,1,1,43,Not Renewed,681.43,High,19,Terminate
SUP-01332,Hutchinson LLC,Chemicals,Port Lorifort,Medium,Chips,86.3,0.27,6.0,0,0,40,Renewed,887.2,Medium,35,Renew
SUP-01333,Lopez LLC,Pharma,Pettyberg,Large,Motors,94.3,3.14,3.0,1,0,42,Renewed,744.22,Medium,41,Renew
SUP-01334,Garrison-Willis,Electronics,Marieborough,Large,Chips,80.9,0.75,9.0,2,0,38,Renewed,607.59,High,69,Renegotiate
SUP-01335,Stevens Inc,Chemicals,Lake Thomas,Small,Vaccines,81.7,,,1,1,34,Renewed,858.51,High,16,Renegotiate
SUP-01336,Moss Inc,Electronics,Mcfarlandmouth,Small,Cleaning Agents,68.8,4.81,5.0,0,1,38,Not Renewed,703.88,Medium,34,Terminate
SUP-01337,Evans PLC,Automotive,Hansenborough,Small,Cleaning Agents,89.1,1.18,18.0,2,0,29,Not Renewed,466.93,High,31,Renegotiate
SUP-01338,Mccoy and Sons,Chemicals,East Brian,Medium,Transport Services,89.3,,11.0,0,1,35,Not Renewed,211.09,High,58,Renew
SUP-01339,Perry-Carson,Pharma,Lopezburgh,Medium,Motors,86.5,1.93,0.0,2,0,33,Renewed,424.61,High,58,Renegotiate
SUP-01340,"White, Harris and Murphy",Electronics,West Brian,Medium,Transport Services,80.7,3.83,1.0,4,0,29,Not Renewed,751.18,Low,64,Renew
SUP-01341,Richardson Group,Logistics,Robertbury,Large,Chips,86.7,1.92,10.0,1,0,27,Not Renewed,344.11,High,31,Renew
SUP-01342,Riddle Ltd,Logistics,Lake Kennethtown,Small,Cleaning Agents,83.3,3.96,15.0,0,0,17,Renewed,151.93,High,47,Renegotiate
SUP-01343,Padilla-Turner,Logistics,Port Shelleyburgh,Medium,Motors,87.5,1.89,6.0,2,2,14,Renewed,356.99,Low,44,Renew
SUP-01344,Quinn LLC,Automotive,Matthewstad,Medium,Motors,73.8,2.41,4.0,1,2,45,Renewed,240.32,Medium,74,Renew
SUP-01345,"Padilla, Wilson and Jackson",Electronics,West Johnton,Small,Cleaning Agents,75.6,1.02,7.0,1,0,45,Not Renewed,429.68,High,68,Renew
SUP-01346,"Douglas, Hanson and Le",Chemicals,Marksville,Medium,Vaccines,77.2,0.86,3.0,1,0,19,Not Renewed,68.06,Low,65,Renew
SUP-01347,Rodriguez and Sons,Logistics,Rebeccaton,Medium,Cleaning Agents,88.8,2.97,5.0,0,2,47,Renewed,634.56,High,36,Renew
SUP-01348,Thomas Inc,Chemicals,Port Davidshire,Medium,Motors,75.9,2.55,17.0,2,0,17,Renewed,482.64,Low,25,Terminate
SUP-01349,Rojas Ltd,Pharma,Wilsonview,Small,Transport Services,90.3,1.76,26.0,1,0,15,Renewed,477.94,High,63,Terminate
SUP-01350,Adams-Harris,Electronics,Sanchezside,Medium,Motors,95.0,3.67,3.0,2,0,23,Renewed,851.67,Medium,61,Renegotiate
SUP-01351,Carter Inc,Chemicals,South Jennifershire,Large,Motors,88.7,3.48,10.0,2,0,26,Renewed,249.16,Low,48,Renew
SUP-01352,"Anderson, Robbins and Miller",Chemicals,South Tiffanymouth,Medium,Cleaning Agents,88.3,3.28,17.0,0,0,33,Renewed,186.45,High,43,Renew
SUP-01353,Johnson PLC,Logistics,New Gerald,Large,Cleaning Agents,87.9,3.62,4.0,2,1,24,Renewed,125.79,Low,50,Renegotiate
SUP-01354,Dickerson PLC,Automotive,Lake Jeremyberg,Small,Motors,63.2,4.25,15.0,0,0,21,Renewed,646.91,Low,53,Renew
SUP-01355,"Boyd, Houston and Martin",Electronics,East Jose,Medium,Chips,81.2,3.31,4.0,1,0,39,Renewed,746.93,Low,37,Terminate
SUP-01356,Butler and Sons,Pharma,South Sheila,Medium,Cleaning Agents,102.0,,11.0,0,0,27,Renewed,835.06,Low,45,Renew
SUP-01357,Taylor Inc,Automotive,Cookville,Medium,Vaccines,106.8,3.46,2.0,0,0,44,Renewed,325.15,Medium,82,Renegotiate
